,0,1,2,3,4,5,6,7,8,9,10
455,hroðgar,maþelode,helm,scyldinga,,,,,,,
456,for,gewyrhtum,þu,wine,min,beowulf,,,,,
457,ond,for,arstafum,usic,sohtest,,,,,,
458,gesloh,þin,fæder,fæhðe,mæste,,,,,,
459,wearþ,he,heaþolafe,to,handbonan,,,,,,
460,mid,wilfingum,ða,hine,wedera,cyn,,,,,
461,for,herebrogan,habban,ne,mihte,,,,,,
462,þanon,he,gesohte,suðdena,folc,,,,,,
463,ofer,yða,gewealc,arscyldinga,,,,,,,
464,ða,ic,furþum,weold,folce,deniga,,,,,
465,ond,on,geogoðe,heold,ginne,rice,,,,,
466,hordburh,hæleþa,ða,wæs,heregar,dead,,,,,
467,min,yldra,mæg,unlifigende,,,,,,,
468,bearn,healfdenes,se,wæs,betera,ðonne,ic,,,,
469,siððan,þa,fæhðe,feo,þingode,,,,,,
470,sende,ic,wylfingum,ofer,wæteres,hrycg,,,,,
471,ealde,madmas,he,me,aþas,swor,,,,,
472,sorh,is,me,to,secganne,on,sefan,minum,,,
473,gumena,ængum,hwæt,me,grendel,hafað,,,,,
474,hynðo,on,heorote,mid,his,heteþancum,,,,,
475,færniða,gefremed,is,min,fletwerod,,,,,,
476,wigheap,gewanod,hie,wyrd,forsweop,,,,,,
477,on,grendles,gryre,god,eaþe,mæg,,,,,
478,þone,dolsceaðan,dæda,getwæfan,,,,,,,
479,ful,oft,gebeotedon,beore,druncne,,,,,,
480,ofer,ealowæge,oretmecgas,,,,,,,,
481,þæt,hie,in,beorsele,bidan,woldon,,,,,
