,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
385,he,has,is,attendance,to,assemble,and,enter,,,,,,,,,,,
386,say,moreover,when,you,speak,to,them,,,,,,,,,,,,
387,that,they,are,welcome,in,denmark,at,the,door,of,the,hall,,,,,,,
388,wulfgar,duly,delivered,the,message,390,,,,,,,,,,,,,
389,my,lord,the,conquering,king,of,the,danes,,,,,,,,,,,
390,bids,me,announce,that,he,knows,your,ancestry,,,,,,,,,,,
391,also,that,he,welcomes,you,here,to,heorot,,,,,,,,,,,
392,and,salutes,your,arrival,from,across,the,sea,,,,,,,,,,,
393,you,are,free,now,to,move,forward,,,,,,,,,,,,
394,to,meet,hrothgar,in,helmets,and,armor,,,,,,,,,,,,
395,but,shields,must,stay,here,and,spears,be,stacked,,,,,,,,,,
396,until,the,outcome,of,the,audience,is,clear,,,,,,,,,,,
397,the,hero,arose,surrounded,closely,,,,,,,,,,,,,,
398,by,his,powerful,thanes,a,party,remained,400,,,,,,,,,,,
399,under,orders,to,keep,watch,on,the,arms,,,,,,,,,,,
400,the,rest,proceeded,lead,by,their,prince,,,,,,,,,,,,
401,under,heorots,roof,and,standing,on,the,hearth,,,,,,,,,,,
402,in,webbed,links,that,the,smith,had,woven,,,,,,,,,,,
403,the,fineforged,mesh,of,his,gleaming,mail,shirt,,,,,,,,,,,
404,resolute,in,his,helmet,beowulf,spoke,,,,,,,,,,,,,
405,greetings,to,hrothgar,i,am,hygelacs,kinsman,,,,,,,,,,,,
406,one,of,his,halltroop,when,i,was,younger,,,,,,,,,,,
407,i,had,great,triumphs,then,news,of,grendel,,,,,,,,,,,
408,hard,to,ignore,reached,me,at,home,410,,,,,,,,,,,
409,sailors,brought,stories,of,the,plight,you,suffer,,,,,,,,,,,
410,in,this,legendary,hall,how,it,lies,deserted,,,,,,,,,,,
411,empty,and,useless,once,the,evening,light,,,,,,,,,,,,
